SUBURB,BOX-CODE,STR-CODE,AREA,
ANNLIN EXT 18,,0182,PRETORIA NORTH,
ANNLIN UIT 18,,0182,PRETORIA NORTH,
ANNLIN EXT 19,,0182,PRETORIA NORTH,
ANNLIN UIT 19,,0182,PRETORIA NORTH,
ANNLIN EXT 2,,0182,PRETORIA NORTH,
ANNLIN UIT 2,,0182,PRETORIA NORTH,
ANNLIN EXT 3,,0182,PRETORIA NORTH,
ANNLIN UIT 3,,0182,PRETORIA NORTH,
ANNLIN EXT 32,,0182,PRETORIA NORTH,
ANNLIN UIT 32,,0182,PRETORIA NORTH,
ANNLIN EXT 33,,0182,PRETORIA NORTH,
ANNLIN UIT 33,,0182,PRETORIA NORTH,
ANNLIN EXT 34,0066,0182,PRETORIA NORTH,
ANNLIN UIT 34,0066,0182,PRETORIA NORTH,
ANNLIN EXT 35,,0182,PRETORIA NORTH,
ANNLIN UIT 35,,0182,PRETORIA NORTH,
ANNLIN EXT 36,,0182,PRETORIA NORTH,
ANNLIN UIT 36,,0182,PRETORIA NORTH,
ANNLIN EXT 37,,0182,PRETORIA NORTH,
ANNLIN UIT 37,,0182,PRETORIA NORTH,
ANNLIN EXT 4,,0182,PRETORIA NORTH,
ANNLIN UIT 4,,0182,PRETORIA NORTH,
ANNLIN EXT 5,,0182,PRETORIA NORTH,
ANNLIN UIT 5,,0182,PRETORIA NORTH,
ANNLIN EXT 52,0129,0182,PRETORIA NORTH,
ANNLIN UIT 52,0129,0182,PRETORIA NORTH,
ANNLIN EXT 54,0129,0182,PRETORIA NORTH,
ANNLIN UIT 54,0129,0182,PRETORIA NORTH,
ANNLIN EXT 6,,0182,PRETORIA NORTH,
ANNLIN UIT 6,,0182,PRETORIA NORTH,
ANNLIN EXT 7,,0182,PRETORIA NORTH,
ANNLIN UIT 7,,0182,PRETORIA NORTH,
ANNLIN EXT 8,,0182,PRETORIA NORTH,
ANNLIN UIT 8,,0182,PRETORIA NORTH,
ANSFRERE,1711,1709,FLORIDA,
ANTROBUS,,0900,MESSINA,
ANZAC,,1541,BRAKPAN,
ANZAC EXT 1,1540,1541,BRAKPAN,
ANZAC UIT 1,1540,1541,BRAKPAN,
ANZAC EXT 2,1540,1541,BRAKPAN,
ANZAC UIT 2,1540,1541,BRAKPAN,
APEL,0739,,POLOKWANE,
APEX CAFE,1519,,DAVEYTON,
APEX KAFEE,1519,,DAVEYTON,
APEX EXT 3,,1501,BENONI,
APEX UIT 3,,1501,BENONI,
APEX EXT 4,1519,1501,BENONI,
APEX UIT 4,1519,1501,BENONI,
APEX INDUSTRIAL,1540,,BRAKPAN,
APEX INDUSTRIEEL,1540,,BRAKPAN,
APPLE ORCHARDS SIHS,1876,,WALKERVILLE,
APPLE ORCHARDS KHW,1876,,WALKERVILLE,
APPLE PARK,,1739,KRUGERSDORP,
AQUADEN CENTRE,3900,3900,RICHARDS BAY,
AQUADEN SENTRUM,3900,3900,RICHARDS BAY,
AQUADENE,3900,3900,RICHARDS BAY,
AQUAPARK,0850,0850,TZANEEN,
AQUAVILLE,6120,,KIRKWOOD,
ARABIEDAM,0464,0464,MARBLE HALL,
ARAUNA,,7560,BRACKENFELL,
ARBEX,3904,,RICHARDS BAY,
ARBOR PARK,2954,,NEWCASTLE,
ARBORETUM,9305,9301,BLOEMFONTEIN,
ARBORETUM,3900,3900,RICHARDS BAY,
ARBORETUM EXT,3900,3900,RICHARDS BAY,
ARBORETUM UIT,3900,3900,RICHARDS BAY,
ARBORETUM EXT 11,3900,3900,RICHARDS BAY,
ARBORETUM UIT 11,3900,3900,RICHARDS BAY,
ARBORETUM EXT 7,,3900,RICHARDS BAY,
